"coverage_id", "tiv"
1, 4840000.000000
2, 0.000000
3, 0.000000
4, 484000.000000
5, 18199100.000000
6, 0.000000
7, 150000.000000
8, 1615000.000000
9, 6111950.000000
10, 0.000000
11, 50000.000000
12, 655000.000000
13, 18274100.000000
14, 0.000000
15, 75000.000000
16, 1410000.000000
17, 24458200.000000
18, 0.000000
19, 150000.000000
20, 2118000.000000
21, 7771920.000000
22, 0.000000
23, 50000.000000
24, 890000.000000
25, 9797970.000000
26, 0.000000
27, 100000.000000
28, 1390000.000000
29, 0.000000
30, 0.000000
31, 50000.000000
32, 0.000000
33, 6000000.000000
34, 0.000000
35, 825000.000000
36, 1800000.000000
37, 9576540.000000
38, 0.000000
39, 1755160.000000
40, 2287800.000000
41, 8499640.000000
42, 0.000000
43, 1350000.000000
44, 1299020.000000
45, 26780000.000000
46, 0.000000
47, 0.000000
48, 5000000.000000
49, 0.000000
50, 0.000000
51, 100000.000000
52, 0.000000
53, 0.000000
54, 0.000000
55, 50000.000000
56, 0.000000
57, 43338900.000000
58, 0.000000
59, 75000000.000000
60, 87000000.000000
61, 24726700.000000
62, 0.000000
63, 0.000000
64, 0.000000
65, 30812300.000000
66, 0.000000
67, 0.000000
68, 0.000000
69, 486000.000000
70, 0.000000
71, 0.000000
72, 0.000000
73, 1000000.000000
74, 0.000000
75, 150000.000000
76, 0.000000
77, 1500000.000000
78, 0.000000
79, 150000.000000
80, 0.000000
81, 19587500.000000
82, 0.000000
83, 0.000000
84, 0.000000
85, 200000.000000
86, 0.000000
87, 25000.000000
88, 0.000000
89, 750000.000000
90, 0.000000
91, 0.000000
92, 0.000000
93, 926540.000000
94, 0.000000
95, 0.000000
96, 0.000000
97, 1500000.000000
98, 0.000000
99, 0.000000
100, 0.000000
101, 1290860.000000
102, 0.000000
103, 0.000000
104, 0.000000
105, 5273060.000000
106, 0.000000
107, 0.000000
108, 0.000000
109, 4416000.000000
110, 0.000000
111, 0.000000
112, 0.000000
113, 2304300.000000
114, 0.000000
115, 0.000000
116, 0.000000
117, 734800.000000
118, 0.000000
119, 0.000000
120, 0.000000
121, 15698000.000000
122, 0.000000
123, 0.000000
124, 0.000000
125, 10354000.000000
126, 0.000000
127, 0.000000
128, 0.000000
129, 162000.000000
130, 0.000000
131, 0.000000
132, 0.000000
133, 6916320.000000
134, 0.000000
135, 0.000000
136, 0.000000
137, 1698750.000000
138, 0.000000
139, 0.000000
140, 0.000000
141, 3367750.000000
142, 0.000000
143, 0.000000
144, 0.000000
145, 5221910.000000
146, 0.000000
147, 0.000000
148, 0.000000
149, 2866490.000000
150, 0.000000
151, 0.000000
152, 0.000000
153, 2442400.000000
154, 0.000000
155, 0.000000
156, 0.000000
157, 60750.000000
158, 0.000000
159, 0.000000
160, 0.000000
161, 60750.000000
162, 0.000000
163, 0.000000
164, 0.000000
165, 60750.000000
166, 0.000000
167, 0.000000
168, 0.000000
169, 9450.000000
170, 0.000000
171, 0.000000
172, 0.000000
173, 60750.000000
174, 0.000000
175, 0.000000
176, 0.000000
177, 60750.000000
178, 0.000000
179, 0.000000
180, 0.000000
181, 60750.000000
182, 0.000000
183, 0.000000
184, 0.000000
185, 150000.000000
186, 0.000000
187, 0.000000
188, 0.000000
189, 30375.000000
190, 0.000000
191, 0.000000
192, 0.000000
193, 73920.000000
194, 0.000000
195, 0.000000
196, 0.000000
197, 3500.000000
198, 0.000000
199, 0.000000
200, 0.000000
201, 94500.000000
202, 0.000000
203, 0.000000
204, 0.000000
205, 3500.000000
206, 0.000000
207, 0.000000
208, 0.000000
209, 2400.000000
210, 0.000000
211, 0.000000
212, 0.000000
213, 3500.000000
214, 0.000000
215, 0.000000
216, 0.000000
217, 94500.000000
218, 0.000000
219, 0.000000
220, 0.000000
221, 3500.000000
222, 0.000000
223, 0.000000
224, 0.000000
225, 3500.000000
226, 0.000000
227, 0.000000
228, 0.000000
229, 112000.000000
230, 0.000000
231, 0.000000
232, 0.000000
233, 270400.000000
234, 0.000000
235, 0.000000
236, 0.000000
237, 153000.000000
238, 0.000000
239, 0.000000
240, 0.000000
241, 280800.000000
242, 0.000000
243, 0.000000
244, 0.000000
245, 45300.000000
246, 0.000000
247, 0.000000
248, 0.000000
249, 45300.000000
250, 0.000000
251, 0.000000
252, 0.000000
253, 16000.000000
254, 0.000000
255, 0.000000
256, 0.000000
257, 0.000000
258, 0.000000
259, 375000.000000
260, 0.000000
261, 2500000.000000
262, 0.000000
263, 0.000000
264, 0.000000
265, 0.000000
266, 0.000000
267, 2700000.000000
268, 0.000000
269, 17600000.000000
270, 0.000000
271, 0.000000
272, 0.000000
273, 200000.000000
274, 0.000000
275, 0.000000
276, 0.000000
277, 10673900.000000
278, 0.000000
279, 1860000.000000
280, 2696210.000000
281, 10931600.000000
282, 0.000000
283, 1860000.000000
284, 1463380.000000
285, 8520420.000000
286, 0.000000
287, 1350000.000000
288, 1054850.000000
289, 11098200.000000
290, 0.000000
291, 1860000.000000
292, 1702340.000000
293, 11801100.000000
294, 0.000000
295, 1665000.000000
296, 1449480.000000
297, 0.000000
298, 0.000000
299, 300000.000000
300, 0.000000
301, 0.000000
302, 0.000000
303, 120000.000000
304, 0.000000
305, 10161700.000000
306, 0.000000
307, 1890000.000000
308, 2974430.000000
309, 0.000000
310, 0.000000
311, 83250.000000
312, 0.000000
313, 1173100.000000
314, 0.000000
315, 1161900.000000
316, 0.000000
317, 21513000.000000
318, 0.000000
319, 0.000000
320, 2100000.000000
321, 20777000.000000
322, 0.000000
323, 0.000000
324, 2100000.000000
325, 22227000.000000
326, 0.000000
327, 0.000000
328, 2200000.000000
329, 66500000.000000
330, 0.000000
331, 5775000.000000
332, 6650000.000000
333, 22800000.000000
334, 0.000000
335, 2322000.000000
336, 2280000.000000
337, 5700000.000000
338, 0.000000
339, 1500000.000000
340, 0.000000
341, 2038530.000000
342, 0.000000
343, 0.000000
344, 0.000000
345, 580000.000000
346, 0.000000
347, 0.000000
348, 58000.000000
349, 13669100.000000
350, 0.000000
351, 25000.000000
352, 2487190.000000
353, 17581500.000000
354, 0.000000
355, 25000.000000
356, 2177580.000000
357, 127833.000000
358, 0.000000
359, 206108.000000
360, 0.000000
361, 0.000000
362, 0.000000
363, 1100000.000000
364, 0.000000
365, 0.000000
366, 0.000000
367, 100000.000000
368, 0.000000
369, 100997000.000000
370, 0.000000
371, 0.000000
372, 15000000.000000
373, 4602000.000000
374, 0.000000
375, 468000.000000
376, 1748750.000000
377, 12750000.000000
378, 0.000000
379, 2250000.000000
380, 3500000.000000
381, 7000000.000000
382, 0.000000
383, 1750000.000000
384, 1400000.000000
385, 7847000.000000
386, 0.000000
387, 798000.000000
388, 2695540.000000
389, 11250000.000000
390, 0.000000
391, 3000000.000000
392, 1900000.000000
393, 2900000.000000
394, 0.000000
395, 0.000000
396, 100000.000000
397, 0.000000
398, 0.000000
399, 50000.000000
400, 0.000000
401, 6524000.000000
402, 0.000000
403, 1260000.000000
404, 2244160.000000
405, 4320000.000000
406, 0.000000
407, 480000.000000
408, 1380870.000000
409, 1213700.000000
410, 0.000000
411, 0.000000
412, 0.000000
413, 0.000000
414, 0.000000
415, 200000.000000
416, 0.000000
417, 38221200.000000
418, 0.000000
419, 0.000000
420, 3876140.000000
421, 33982200.000000
422, 0.000000
423, 0.000000
424, 3312320.000000
425, 24226200.000000
426, 0.000000
427, 0.000000
